500,ลอยกล,ผู้ใดฝันว่า ตนเองลุกปลิวยุ่งน่าน ย่อมตัวนี้น้ายให้กระแสน้ำท่าไปมากว่าก
501,ล้อยกระทง,ฝันว่าได้ไปลอยกระทง พร้อมกันกระทง ล้อยกอล มีภูปเทียนประดับ ทายว่า ร่าง
502,ล้องแผ่,หญิงชายใดฝันว่า ได้ลิงแผ่พร้อมลองแนวน ประแสน้ำเรื่อย ๆ ทายว่า จะหมดเศร
505,ลิงพาย (ดูคำว่า พาย อีกรา พ.),
512,เดินป่าไผ่,หญิงชายได้ฝันว่า เดินเดินไปในป่าไผ่ ผ่านพ้นไปได้ หายป่วย จะมีโชคลาภ ถ้
514,ลักโมย,หญิงชายได้ฝันว่า คนเอาของลักเลาะหิ้ง เศรษฐี หรือฝันว่าถูกโจรขโมยบ้าน ห
515,ลูยโคลน,(ดูคำว่า 'โคลน' อีกษา ค.)
522,หัวล้าน,ฝันว่าศีรษะคนเป็นล้าน หายป่วย จะหายจากการฝันร้าย หากเป็นตำรับไทยแล้ว ค
534,เรือง,หญิงชายใดฝันว่า ตกลงมหาสมุทรแล้วแกว่งได้ ทำนายว่า จะได้รับเคราะห์ใหญ่ใ
535,วัด, วิหาร,(ดูคำว่า ใบเสด็ก อักษร น) วงกด ฝันว่าได้เดินขึ้นไปบนเขาวงกด เป็นเท็งคอ
538,ว่าว,ฝันว่าคนเอาดาบมาให้ หรือผมได้ดาบ ทำนายว่า จะหมดเดือดร้อน และสำเร็จการง
540,เรียนหนังสือ,ฝันว่าได้ไปเรียนเขียนหนังสือหรือ หายปวดเศีรษะจากโรคปวดหัวเป็นฝันดี ทำน
541,ว่าย, วิทยา,ฝันว่าได้ศึกษาว่ายหรือวิทยาการอย่างหนึ่ง หมายว่าจะได้รับปัญญาจากเพื่อน
543,ศพ (ดูคำว่า 'ลงศพ' ในอักษร ล.),
545,ศาลพระภูมิ (ดูคำว่า 'ศาลเจ้า'),
555,สวดมนต์,หญิงชายใดฝันว่า ได้นั่งสวดอ่านคาถา หรือกำลังคุมภาวนา หมายว่า เป็นนิมิต
571,สำปา,ดูคำว่า 'เรือ' อีกครั้ง
572,แส้,ดูคำว่า 'แซ่' อีกครั้ง
573,แม่ลิง,ฝันเห็นแสดงเป็นลางราย หรือจะจน หรือยา จะได้รับการเปลี่ยนแปลงหน้าที่ หร
577,สายสะพาย,(ความหมายอย่างเดียวกับ สายพราน)
578,ส่องกระจก,ดูคำว่า กระจก อีกครั้ง
579,กระรอก,ฝันว่าจับลูกของแมลงวันอกใส่จากที่ใดแห่งหนึ่ง นับเป็นความดีใสใข้าใจ ทาย
584,สระ,ฝันว่าเข้าไปเล่นน้ำลอยอยู่ในน้ำ หรือให้นางกิ่งลดน้ำ ลอยน้ำ ทายว่า จะหม
612,เหรียญเงิน,(ดูคำว่า 'สตางค์' อีกนง ด.) หมผ้า ฝันว่าตนเองได้หานสกุลเงินไทย ในฝันาน
616,หนูสีน,ฝันว่าเป็นหนูหึงลูกกล้วยหนึ่งท่วงเงิน พากษา จะได้มีพายุหรือเสียงลิง ทำ
619,เหรียญ,(ดูคำว่า 'เงินทอง' อักษร ง)
636,อุจจาระ (ดูคำว่า 'ขี้' อีกหน้า 1),
640,ฮูก (โบฮูก),ฝันเห็นฮูกหรือได้รับข้าวทางไกลจากมิตรสหาย
641,ฮ่องเต้ (จักรพรรดิ),ฝันเห็นฮ่องเต้ในฝัน ทำนายว่าจะได้ลาภใหญ่หรือได้เลื่อนตำแหน่ง
643,กิ้งก่า,เป็นความฝันดี ผู้ฝันจะได้ลาภผลอย่างรวดเร็ว
201,แตน, ต่อ,ฝันว่าถูกแตนหรือต่อต่อยกัด เป็นฝันไม่สู้ดีนัก ทายว่า ผู้ฝันจะมีศัตรูร้
356,ใส่ใจ,ฝันว่าถูกไล่ออกจากงาน หรือถูกปลดออกจากหน้าที่ตำแหน่ง ในตำราต่างประเทศจ
